Problema,Possíveis causas
Ar condicionado fraco,"Filtro sujo, Compressor com mal funcionamento, Mal funcionamento da ventoinha"
Ar-condicionado não funciona,Filtro de ar entupido
Barulho estranho no motor,"Correia dentada desgastada, Problemas no alternador"
Barulho no motor,"Pressão incorreta, Correia dentada desgastada, Óleo baixo"
Carro puxando para um lado,"Desalinhamento, Pressão dos pneus desiguais"
Dificuldade na ignição,Bateria fraca
Direção pesada,"Fluido da direção hidráulica baixo, Alinhamento incorreto, Correia da direção hidráulica solta"
Falha no indicador de combustível,"Boia encharcada, Sensor queimado"
Falha no sistema de freios,"Pastilhas de freio gastas"
Fumaça branca pelo escapamento,"Junta do cabeçote queimada, Sensor de oxigênio defeituoso, Problema no motor"
Luz de alerta acesa,"Sensor de oxigênio defeituoso, Catalisador com problema, Falha no sistema de injeção eletrônica"
Luzes do painel piscando,"Fusível queimado, Alternador com problema, Correia solta"
Meu carro não está ligando,"Bateria descarregada, Cabo da bateria solto"
Motor falhando,Velas de ignição desgastadas
Perda de potência,Módulo de controle do motor
Pneu esvaziando muito rápido,Pneu furado
Pneus desgastando rapidamente,Alinhamento incorreto
Problemas ao engatar marcha,"Fluido da embreagem baixo, Vazamento de óleo na caixa de câmbio, Quebra do cabo de embreagem"
Ruído na suspensão,Amortecedor danificado
Ruídos e vibrações no pedal de freio,"Pastilhas desgastadas, Discos empenados, Tambores empenados"
Saindo fumaça do capô,"Superaquecimento, Mangueiras ressecadas ou furadas"
Temperatura do motor muito alta,"Líquido de arrefecimento baixo, Thermostato com defeito, Radiador com vazamento"
Vibração ao dirigir,"Desbalanceamento das rodas, Amortecedor danificado"
Dificuldade ao trocar de marcha,"Fluido da transmissão baixo, Embreagem desgastada"
Desgaste irregular nos pneus,"Desbalanceamento das rodas, Pressão dos pneus incorreta, Alinhamento incorreto"
Fumaça preta pelo escapamento,"Combustível excessivo, Filtro de ar sujo, Problema no sistema de injeção"
Barulho ao frear,"Pastilhas de freio desgastadas, Discos de freio empenados, Falta de lubrificação"
Faróis não funcionam,"Fusível queimado, Lâmpada queimada, Problema na fiação elétrica"
Aquecimento do motor,"Ventoinha do radiador com problema, Termostato defeituoso, Falta de líquido de arrefecimento"
Vazamento de óleo,"Junta do motor desgastada, Tampa do óleo mal colocada, Filtro de óleo com defeito"
Suspensão batendo,"Amortecedores desgastados, Buchas danificadas, Mola da suspensão quebrada"
Vidros elétricos não funcionam,"Motor do vidro elétrico com defeito, Fusível queimado, Problema na fiação"
Cheiro de gasolina no interior,"Vazamento no tanque de combustível, Mangueira de combustível solta, Tampa do tanque mal fechada"
Bateria descarregando rapidamente,"Alternador com defeito, Bateria velha"
Desempenho ruim no ar-condicionado,"Fluido refrigerante baixo, Compressor com problema"
Desgaste irregular nas pastilhas de freio,"Pinças de freio defeituosas, Discos de freio empenados"
Falha no limpador de para-brisas,"Motor do limpador com defeito, Problema na fiação elétrica, Fusível queimado"
Faróis baixos,"Lâmpadas desgastadas, Problemas de ajuste do farol"
Pedal do acelerador preso,"Cabo do acelerador desgastado, Pedal de acelerador defeituoso"
Porta não fecha corretamente,"Fechadura desgastada, Alinhamento da porta incorreto"
Sistema de navegação não funciona,"Problema de software, Antena de GPS danificada"
Vidros embaçando rapidamente,"Problemas no sistema de desembaçamento, Falta de ventilação adequada"
Vibração na direção,"Desbalanceamento das rodas, Pneus desgastados, Amortecedores desgastados"
Câmbio de marchas duros,"Cabos de câmbio desgastados, Embreagem mal ajustada"
Cintos de segurança não retraem,"Mecanismo de retração defeituoso, Acúmulo de sujeira"
Luz interna não acende,"Fusível queimado, Lâmpada queimada, Problema na fiação"
Marcha lenta irregular,"Válvula de controle de ar inativa, Sensor de fluxo de ar defeituoso"
Motor não acelera,"Filtro de ar entupido, Injetores de combustível sujos"
Oscilação do motor,"Velas de ignição defeituosas, Bobina de ignição com problema"
Porta-malas não abre,"Trava do porta-malas com defeito, Problema na chave"
Problema nos faróis,"Relé dos faróis defeituoso, Interruptor de farol com problema"
Volante desalinhado,"Desalinhamento do eixo, Danos na suspensão"
Luz de freio não acende,"Lâmpada queimada, Interruptor de freio com defeito, Problema na fiação"
Ar quente não funciona,"Termostato defeituoso, Válvula de controle de calor com problema"
Banco não ajusta,"Motor do banco elétrico defeituoso, Trava do banco desgastada"
Cheiro de queimado,"Correia desgastada, Vazamento de óleo"
Câmera de ré não funciona,"Problema na fiação, Câmera com defeito"
Desempenho fraco ao frear,"Fluido de freio baixo, Pastilhas de freio desgastadas"
Falha na luz de ré,"Lâmpada queimada, Sensor de ré defeituoso"
Luz do ABS acesa,"Sensor de velocidade da roda com defeito, Bomba ABS com problema"
Retrovisores não ajustam,"Motor do retrovisor com defeito, Botão de ajuste com problema"
Rádio não liga,"Fusível queimado, Problema na fiação, Rádio defeituoso"
Sistema de chave não reconhecido,"Bateria da chave fraca, Problema no receptor da chave"



