problema,Oscilação do motor,Motor irregular,Motor instável,Motor variando,Motor com variação,Motor não constante,Motor flutuante,Motor inconstante,Motor irregular,Motor não estável,Motor variando
problema,Porta-malas não abre,Porta-malas travado,Porta-malas emperrado,Porta-malas bloqueado,Porta-malas não funciona,Porta-malas com problema,Porta-malas preso,Porta-malas não destrava,Porta-malas não responde,Porta-malas travado,Porta-malas emperrado
problema,Problema nos faróis,Faróis com defeito,Faróis não funcionam,Faróis inoperantes,Faróis quebrados,Faróis fora de serviço,Faróis com problema,Faróis não acendem,Faróis com defeito,Faróis não funcionam,Faróis inoperantes
problema,Volante desalinhado,Direção desalinhada,Volante torto,Volante fora do eixo,Volante descentrado,Volante não alinhado,Direção fora do alinhamento,Volante com problema de alinhamento,Volante fora do centro,Volante desalinhado,Direção desalinhada
problema,Luz de freio não acende,Luz de freio apagada,Luz de freio com defeito,Luz de freio não funciona,Luz de freio inoperante,Luz de freio queimada,Luz de freio não acende,Luz de freio sem resposta,Luz de freio desligada,Luz de freio fora de serviço,Luz de freio apagada
problema,Ar quente não funciona,Aquecedor inoperante,Aquecedor com defeito,Aquecedor não responde,Aquecedor não funciona bem,Aquecedor fora de serviço,Aquecedor defeituoso,Aquecedor quebrado,Aquecedor inativo,Aquecedor sem funcionamento,Aquecedor inoperante
problema,Banco não ajusta,Banco travado,Banco não se move,Banco com defeito,Banco preso,Banco emperrado,Banco não regula,Banco não funciona,Banco sem ajuste,Banco bloqueado,Banco não ajusta
problema,Cheiro de queimado,Odor de queimado,Aroma de queimado,Fumaça de queimado,Cheiro de fumaça queimada,Odor de algo queimado,Cheiro de queimado forte,Aroma de material queimado,Cheiro de incinerado,Odor de algo incinerado,Cheiro de queimado
problema,Câmera de ré não funciona,Câmera de ré inoperante,Câmera de ré com defeito,Câmera de ré quebrada,Câmera de ré não responde,Câmera de ré fora de serviço,Câmera de ré defeituosa,Câmera de ré inativa,Câmera de ré sem funcionamento,Câmera de ré não funciona,Câmera de ré inoperante
problema,Desempenho fraco ao frear,Frenagem insuficiente,Frenagem fraca,Frenagem ineficiente,Frenagem deficiente,Frenagem com baixa performance,Frenagem não eficaz,Frenagem com problemas,Frenagem inadequada,Frenagem com deficiência,Frenagem insuficiente
problema,Falha na luz de ré,Luz de ré apagada,Luz de ré queimada,Luz de ré com defeito,Luz de ré não funciona,Luz de ré inoperante,Luz de ré sem resposta,Luz de ré desligada,Luz de ré fora de serviço,Luz de ré defeituosa,Luz de ré apagada
problema,Luz do ABS acesa,Indicador ABS ativado,Luz do ABS ligada,Luz do ABS piscando,Luz do ABS em alerta,Luz do ABS não apaga,Luz do ABS com problema,Luz do ABS sinalizando,Alerta do ABS ativado,Luz do ABS acesa,Indicador ABS ativado
problema,Retrovisores não ajustam,Retrovisores travados,Retrovisores com defeito,Retrovisores não funcionam,Retrovisores não se movem,Retrovisores quebrados,Retrovisores inoperantes,Retrovisores não respondem,Retrovisores emperrados,Retrovisores fora de serviço,Retrovisores travados
problema,Rádio não liga,Rádio inoperante,Rádio com defeito,Rádio quebrado,Rádio não funciona,Rádio sem sinal,Rádio sem resposta,Rádio inativo,Rádio não opera,Rádio fora de serviço,Rádio não liga
problema,Sistema de chave não reconhecido,Chave não identificada,Chave não reconhecida,Chave não aceita,Chave sem resposta,Chave não validada,Chave não funciona,Chave não autorizada,Chave não compatível,Chave não lida,Sistema não reconhece a chave
